date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:03:47	32440/32440	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2006:41:07%20GMT	https://preview.uideck.com/items/plain/	C:/Users/masmin/Desktop/htttrack/codinia%20website/preview.uideck.com/items/plain/index.html	(from )
16:03:48	46/46	---MCZ	200	added ('OK')	text/plain	etag:W/%22592b3107-1a%22	https://preview.uideck.com/robots.txt		(from )
16:03:48	734/734	---M--	200	added ('OK')	image/png	etag:%225e9469f8-2de%22	https://preview.uideck.com/items/plain/assets/images/favicon.png	C:/Users/masmin/Desktop/htttrack/codinia%20website/preview.uideck.com/items/plain/assets/images/favicon.png	(from https://preview.uideck.com/items/plain/)
16:03:48	60688/60688	---MCZ	200	added ('OK')	text/css	etag:W/%225e9469f4-13033%22	https://preview.uideck.com/items/plain/assets/css/animate.css	C:/Users/masmin/Desktop/htttrack/codinia%20website/preview.uideck.com/items/plain/assets/css/animate.css	(from https://preview.uideck.com/items/plain/)
16:03:48	1330/1330	---MCZ	200	added ('OK')	text/css	etag:W/%225e9469f2-6f0%22	https://preview.uideck.com/items/plain/assets/css/slick.css	C:/Users/masmin/Desktop/htttrack/codinia%20website/preview.uideck.com/items/plain/assets/css/slick.css	(from https://preview.uideck.com/items/plain/)
16:03:50	22357/22357	---MCZ	200	added ('OK')	text/css	date:Tue,%2014%20Jul%202020%2006:37:30%20GMT	https://cdn.lineicons.com/2.0/LineIcons.css	C:/Users/masmin/Desktop/htttrack/codinia%20website/cdn.lineicons.com/2.0/LineIcons.css	(from https://preview.uideck.com/items/plain/)
16:03:50	159515/159515	---MCZ	200	added ('OK')	text/css	etag:W/%225e9469f1-26f1b%22	https://preview.uideck.com/items/plain/assets/css/bootstrap.min.css	C:/Users/masmin/Desktop/htttrack/codinia%20website/preview.uideck.com/items/plain/assets/css/bootstrap.min.css	(from https://preview.uideck.com/items/plain/)
16:03:50	7953/7953	---MCZ	200	added ('OK')	text/css	etag:W/%225e9469f5-2c28%22	https://preview.uideck.com/items/plain/assets/css/default.css	C:/Users/masmin/Desktop/htttrack/codinia%20website/preview.uideck.com/items/plain/assets/css/default.css	(from https://preview.uideck.com/items/plain/)
16:03:50	36812/36812	---MCZ	200	added ('OK')	text/css	etag:W/%225e9469f5-c1df%22	https://preview.uideck.com/items/plain/assets/css/style.css	C:/Users/masmin/Desktop/htttrack/codinia%20website/preview.uideck.com/items/plain/assets/css/style.css	(from https://preview.uideck.com/items/plain/)
16:03:51	32440/32440	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2006:41:07%20GMT	https://preview.uideck.com/items/plain/index.html	C:/Users/masmin/Desktop/htttrack/codinia%20website/preview.uideck.com/items/plain/index-2.html	(from https://preview.uideck.com/items/plain/)
16:03:51	5363/5363	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f3537b1-14f3%22	https://preview.uideck.com/items/plain/assets/images/logo.svg	C:/Users/masmin/Desktop/htttrack/codinia%20website/preview.uideck.com/items/plain/assets/images/logo.svg	(from https://preview.uideck.com/items/plain/)
